sample_id,crop_name,disease_name,pathogen_type,severity_grade,affected_leaf_area_pct,leaf_spot_count,chlorosis_index,ai_confidence_pct,urgency_level,recommended_treatment
IMG-2026-0040,Tulsi,Cercospora Leaf Spot,fungal,Moderate,47.44,153,0.39,98.48,Low,Organic Neem Leaf Extract
IMG-2026-0041,Grape,Black Rot,fungal,Severe,54.06,77,0.81,97.04,High,Myclobutanil
IMG-2026-0042,Wheat,Leaf Rust,fungal,Mild,18.89,125,0.53,92.6,High,Propiconazole 25% EC
IMG-2026-0043,Sugarcane,Red Rot,fungal,Severe,65.22,180,0.36,92.51,Critical,Carbendazim 50% WP
IMG-2026-0044,Monstera,Spider Mites,pest,Severe,70.44,42,0.46,90.13,Medium,Abamectin / Insecticidal Soap
IMG-2026-0045,Rice,Bacterial Leaf Blight,bacterial,Mild,22.23,61,0.48,90.8,High,Copper Hydroxide
IMG-2026-0046,Plant,Healthy Leaf,none,Healthy,0.11,2,0.02,98.65,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0047,Apple,Apple Scab,fungal,Severe,73.03,38,0.9,97.51,Medium,Captan 50% WP
IMG-2026-0048,Potato,Late Blight,fungal,Moderate,41.67,138,0.44,92.49,Critical,Cymoxanil + Mancozeb
IMG-2026-0049,Tomato,Early Blight,fungal,Mild,24.02,15,0.94,90.97,High,Mancozeb 75% WP
IMG-2026-0050,Cotton,Bacterial Blight,bacterial,Severe,69.31,88,0.57,98.72,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0051,Cotton,Bacterial Blight,bacterial,Severe,52.57,139,0.4,91.32,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0052,Tomato,Early Blight,fungal,Severe,54.28,153,0.34,91.51,High,Mancozeb 75% WP
IMG-2026-0053,Tomato,Early Blight,fungal,Severe,54.64,143,0.9,93.95,High,Mancozeb 75% WP
IMG-2026-0054,Tomato,Early Blight,fungal,Severe,82.14,35,0.85,88.77,High,Mancozeb 75% WP
IMG-2026-0055,Tomato,Late Blight,fungal,Severe,61.29,75,0.56,98.55,Critical,Copper Oxychloride
IMG-2026-0056,Grape,Black Rot,fungal,Moderate,29.97,167,0.33,88.92,High,Myclobutanil
IMG-2026-0057,Tulsi,Cercospora Leaf Spot,fungal,Severe,54.61,148,0.51,90.92,Low,Organic Neem Leaf Extract
IMG-2026-0058,Tulsi,Cercospora Leaf Spot,fungal,Severe,64.28,76,0.47,89.47,Low,Organic Neem Leaf Extract
IMG-2026-0059,Tulsi,Cercospora Leaf Spot,fungal,Moderate,33.9,95,0.9,98.48,Low,Organic Neem Leaf Extract
IMG-2026-0060,Tomato,Early Blight,fungal,Moderate,45.45,159,0.95,88.82,High,Mancozeb 75% WP
IMG-2026-0061,Wheat,Leaf Rust,fungal,Moderate,48.93,48,0.91,97.87,High,Propiconazole 25% EC
IMG-2026-0062,Plant,Healthy Leaf,none,Healthy,0.37,1,0.03,99.25,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0063,Corn,Northern Leaf Blight,fungal,Moderate,34.08,150,0.31,97.15,High,Azoxystrobin
IMG-2026-0064,Rose,Powdery Mildew,fungal,Severe,80.02,41,0.91,89.5,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0065,Tomato,Late Blight,fungal,Severe,76.95,156,0.4,91.16,Critical,Copper Oxychloride
IMG-2026-0066,Wheat,Leaf Rust,fungal,Severe,64.39,67,0.75,97.55,High,Propiconazole 25% EC
IMG-2026-0067,Apple,Apple Scab,fungal,Moderate,47.66,28,0.36,92.74,Medium,Captan 50% WP
IMG-2026-0068,Rose,Powdery Mildew,fungal,Mild,15.22,100,0.8,95.14,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0069,Rose,Powdery Mildew,fungal,Mild,23.8,128,0.66,92.79,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0070,Tomato,Early Blight,fungal,Mild,20.17,53,0.65,97.35,High,Mancozeb 75% WP
IMG-2026-0071,Grape,Black Rot,fungal,Severe,52.33,125,0.38,91.45,High,Myclobutanil
IMG-2026-0072,Plant,Healthy Leaf,none,Healthy,1.4,0,0.18,97.19,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0073,Wheat,Leaf Rust,fungal,Severe,60.69,105,0.81,97.9,High,Propiconazole 25% EC
IMG-2026-0074,Citrus,Bacterial Canker,bacterial,Severe,83.09,54,0.9,90.65,Critical,Streptomycin Sulfate + Copper
IMG-2026-0075,Potato,Late Blight,fungal,Severe,83.26,60,0.87,88.28,Critical,Cymoxanil + Mancozeb
IMG-2026-0076,Corn,Northern Leaf Blight,fungal,Severe,79.49,120,0.82,97.68,High,Azoxystrobin
IMG-2026-0077,Cotton,Bacterial Blight,bacterial,Moderate,30.12,55,0.81,89.21,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0078,Sugarcane,Red Rot,fungal,Mild,14.83,135,0.44,97.15,Critical,Carbendazim 50% WP
IMG-2026-0079,Rice,Bacterial Leaf Blight,bacterial,Moderate,37.53,73,0.44,95.39,High,Copper Hydroxide
IMG-2026-0080,Citrus,Bacterial Canker,bacterial,Moderate,35.96,32,0.93,91.13,Critical,Streptomycin Sulfate + Copper
IMG-2026-0081,Tulsi,Cercospora Leaf Spot,fungal,Moderate,49.19,152,0.52,88.31,Low,Organic Neem Leaf Extract
IMG-2026-0082,Plant,Healthy Leaf,none,Healthy,1.46,0,0.12,99.75,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0083,Tomato,Early Blight,fungal,Mild,19.91,126,0.52,96.81,High,Mancozeb 75% WP
IMG-2026-0084,Citrus,Bacterial Canker,bacterial,Severe,56.25,145,0.38,98.07,Critical,Streptomycin Sulfate + Copper
IMG-2026-0085,Wheat,Leaf Rust,fungal,Moderate,30.59,126,0.3,98.37,High,Propiconazole 25% EC
IMG-2026-0086,Apple,Apple Scab,fungal,Severe,62.14,65,0.54,88.78,Medium,Captan 50% WP
IMG-2026-0087,Tulsi,Cercospora Leaf Spot,fungal,Severe,79.22,174,0.5,97.5,Low,Organic Neem Leaf Extract
IMG-2026-0088,Corn,Northern Leaf Blight,fungal,Severe,77.7,144,0.5,92.57,High,Azoxystrobin
IMG-2026-0089,Citrus,Bacterial Canker,bacterial,Severe,62.9,156,0.38,92.71,Critical,Streptomycin Sulfate + Copper
IMG-2026-0090,Citrus,Bacterial Canker,bacterial,Severe,61.44,59,0.7,91.37,Critical,Streptomycin Sulfate + Copper
IMG-2026-0091,Apple,Apple Scab,fungal,Severe,72.86,92,0.49,92.81,Medium,Captan 50% WP
IMG-2026-0092,Grape,Black Rot,fungal,Severe,56.29,97,0.6,92.95,High,Myclobutanil
IMG-2026-0093,Wheat,Leaf Rust,fungal,Moderate,49.32,58,0.73,91.18,High,Propiconazole 25% EC
IMG-2026-0094,Tulsi,Cercospora Leaf Spot,fungal,Severe,58.2,100,0.36,98.66,Low,Organic Neem Leaf Extract
IMG-2026-0095,Wheat,Leaf Rust,fungal,Severe,61.11,72,0.82,89.65,High,Propiconazole 25% EC
IMG-2026-0096,Tomato,Early Blight,fungal,Moderate,29.87,136,0.7,96.61,High,Mancozeb 75% WP
IMG-2026-0097,Rice,Bacterial Leaf Blight,bacterial,Moderate,42.25,176,0.67,96.05,High,Copper Hydroxide
IMG-2026-0098,Citrus,Bacterial Canker,bacterial,Moderate,48.09,77,0.4,95.7,Critical,Streptomycin Sulfate + Copper
IMG-2026-0099,Plant,Healthy Leaf,none,Healthy,1.13,0,0.16,97.22,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0100,Cotton,Bacterial Blight,bacterial,Severe,81.93,147,0.6,94.24,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0101,Plant,Healthy Leaf,none,Healthy,1.27,1,0.03,98.03,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0102,Apple,Apple Scab,fungal,Severe,84.12,167,0.51,96.46,Medium,Captan 50% WP
IMG-2026-0103,Rice,Bacterial Leaf Blight,bacterial,Severe,56.72,144,0.58,98.16,High,Copper Hydroxide
IMG-2026-0104,Rice,Bacterial Leaf Blight,bacterial,Severe,77.5,136,0.59,96.42,High,Copper Hydroxide
IMG-2026-0105,Sugarcane,Red Rot,fungal,Severe,58.55,148,0.61,90.68,Critical,Carbendazim 50% WP
IMG-2026-0106,Rice,Bacterial Leaf Blight,bacterial,Mild,17.66,88,0.45,91.76,High,Copper Hydroxide
IMG-2026-0107,Plant,Healthy Leaf,none,Healthy,0.81,0,0.03,97.76,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0108,Potato,Late Blight,fungal,Severe,63.57,31,0.57,91.71,Critical,Cymoxanil + Mancozeb
IMG-2026-0109,Rice,Bacterial Leaf Blight,bacterial,Moderate,42.35,67,0.84,92.36,High,Copper Hydroxide
IMG-2026-0110,Cotton,Bacterial Blight,bacterial,Severe,54.64,20,0.86,96.57,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0111,Citrus,Bacterial Canker,bacterial,Moderate,46.82,105,0.49,92.37,Critical,Streptomycin Sulfate + Copper
IMG-2026-0112,Plant,Healthy Leaf,none,Healthy,1.43,1,0.11,98.92,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0113,Cotton,Bacterial Blight,bacterial,Severe,56.04,71,0.62,91.06,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0114,Rice,Bacterial Leaf Blight,bacterial,Mild,14.12,101,0.73,96.94,High,Copper Hydroxide
IMG-2026-0115,Corn,Northern Leaf Blight,fungal,Mild,24.05,134,0.9,98.98,High,Azoxystrobin
IMG-2026-0116,Apple,Apple Scab,fungal,Mild,13.97,115,0.68,95.43,Medium,Captan 50% WP
IMG-2026-0117,Tomato,Late Blight,fungal,Severe,58.92,49,0.86,90.04,Critical,Copper Oxychloride
IMG-2026-0118,Rose,Powdery Mildew,fungal,Moderate,39.67,69,0.6,91.78,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0119,Plant,Healthy Leaf,none,Healthy,0.57,1,0.05,96.77,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0120,Tomato,Early Blight,fungal,Severe,66.68,28,0.95,91.92,High,Mancozeb 75% WP
IMG-2026-0121,Tulsi,Cercospora Leaf Spot,fungal,Mild,17.01,25,0.79,98.64,Low,Organic Neem Leaf Extract
IMG-2026-0122,Wheat,Leaf Rust,fungal,Severe,73.26,174,0.4,89.41,High,Propiconazole 25% EC
IMG-2026-0123,Tulsi,Cercospora Leaf Spot,fungal,Mild,20.35,70,0.6,90.87,Low,Organic Neem Leaf Extract
IMG-2026-0124,Monstera,Spider Mites,pest,Mild,24.25,170,0.93,96.05,Medium,Abamectin / Insecticidal Soap
IMG-2026-0125,Cotton,Bacterial Blight,bacterial,Severe,71.81,94,0.37,88.29,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0126,Rose,Powdery Mildew,fungal,Severe,54.03,111,0.56,96.01,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0127,Tomato,Late Blight,fungal,Severe,55.22,175,0.46,95.81,Critical,Copper Oxychloride
IMG-2026-0128,Rose,Powdery Mildew,fungal,Severe,74.07,168,0.82,96.92,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0129,Grape,Black Rot,fungal,Severe,69.13,103,0.65,95.41,High,Myclobutanil
IMG-2026-0130,Tomato,Late Blight,fungal,Moderate,48.94,102,0.31,92.7,Critical,Copper Oxychloride
IMG-2026-0131,Rice,Bacterial Leaf Blight,bacterial,Mild,19.7,107,0.71,97.28,High,Copper Hydroxide
IMG-2026-0132,Corn,Northern Leaf Blight,fungal,Mild,23.17,60,0.78,98.81,High,Azoxystrobin
IMG-2026-0133,Rose,Powdery Mildew,fungal,Severe,56.96,152,0.8,93.21,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0134,Sugarcane,Red Rot,fungal,Severe,65.36,83,0.51,90.75,Critical,Carbendazim 50% WP
IMG-2026-0135,Plant,Healthy Leaf,none,Healthy,0.13,1,0.05,98.03,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0136,Grape,Black Rot,fungal,Severe,60.78,101,0.32,97.53,High,Myclobutanil
IMG-2026-0137,Potato,Late Blight,fungal,Moderate,47.59,105,0.82,91.81,Critical,Cymoxanil + Mancozeb
IMG-2026-0138,Plant,Healthy Leaf,none,Healthy,0.89,1,0.11,98.2,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0139,Wheat,Leaf Rust,fungal,Mild,18.25,119,0.62,96.49,High,Propiconazole 25% EC
IMG-2026-0140,Corn,Northern Leaf Blight,fungal,Moderate,46.75,140,0.59,88.19,High,Azoxystrobin
IMG-2026-0141,Rose,Powdery Mildew,fungal,Moderate,28.18,77,0.5,94.51,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0142,Rice,Bacterial Leaf Blight,bacterial,Severe,52.4,103,0.58,96.35,High,Copper Hydroxide
IMG-2026-0143,Monstera,Spider Mites,pest,Moderate,37.68,131,0.48,90.82,Medium,Abamectin / Insecticidal Soap
IMG-2026-0144,Tomato,Late Blight,fungal,Severe,64.65,95,0.38,94.0,Critical,Copper Oxychloride
IMG-2026-0145,Cotton,Bacterial Blight,bacterial,Severe,62.38,64,0.44,93.42,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0146,Corn,Northern Leaf Blight,fungal,Severe,55.04,149,0.69,98.98,High,Azoxystrobin
IMG-2026-0147,Sugarcane,Red Rot,fungal,Moderate,26.17,73,0.53,91.39,Critical,Carbendazim 50% WP
IMG-2026-0148,Corn,Northern Leaf Blight,fungal,Severe,50.99,85,0.33,88.61,High,Azoxystrobin
IMG-2026-0149,Rose,Powdery Mildew,fungal,Severe,62.91,47,0.71,96.43,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0150,Tomato,Late Blight,fungal,Severe,75.71,161,0.48,93.36,Critical,Copper Oxychloride
IMG-2026-0151,Monstera,Spider Mites,pest,Moderate,25.46,28,0.46,97.65,Medium,Abamectin / Insecticidal Soap
IMG-2026-0152,Tomato,Late Blight,fungal,Severe,72.01,117,0.62,94.46,Critical,Copper Oxychloride
IMG-2026-0153,Tulsi,Cercospora Leaf Spot,fungal,Mild,15.91,53,0.83,98.63,Low,Organic Neem Leaf Extract
IMG-2026-0154,Tomato,Late Blight,fungal,Severe,84.56,45,0.66,92.66,Critical,Copper Oxychloride
IMG-2026-0155,Grape,Black Rot,fungal,Severe,69.72,72,0.8,92.26,High,Myclobutanil
IMG-2026-0156,Plant,Healthy Leaf,none,Healthy,0.66,2,0.2,97.51,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0157,Grape,Black Rot,fungal,Mild,16.4,40,0.92,90.33,High,Myclobutanil
IMG-2026-0158,Wheat,Leaf Rust,fungal,Moderate,31.32,35,0.4,89.95,High,Propiconazole 25% EC
IMG-2026-0159,Tomato,Late Blight,fungal,Mild,23.43,119,0.59,94.65,Critical,Copper Oxychloride
IMG-2026-0160,Rose,Powdery Mildew,fungal,Mild,14.38,88,0.76,95.87,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0161,Rice,Bacterial Leaf Blight,bacterial,Mild,17.2,74,0.9,96.82,High,Copper Hydroxide
IMG-2026-0162,Tulsi,Cercospora Leaf Spot,fungal,Severe,55.05,65,0.58,94.1,Low,Organic Neem Leaf Extract
IMG-2026-0163,Tulsi,Cercospora Leaf Spot,fungal,Mild,22.88,83,0.84,88.8,Low,Organic Neem Leaf Extract
IMG-2026-0164,Potato,Late Blight,fungal,Severe,69.86,167,0.79,94.38,Critical,Cymoxanil + Mancozeb
IMG-2026-0165,Rose,Powdery Mildew,fungal,Moderate,44.06,134,0.75,95.84,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0166,Rose,Powdery Mildew,fungal,Moderate,48.53,141,0.58,94.7,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0167,Plant,Healthy Leaf,none,Healthy,0.65,1,0.12,96.59,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0168,Wheat,Leaf Rust,fungal,Severe,82.22,162,0.68,88.23,High,Propiconazole 25% EC
IMG-2026-0169,Cotton,Bacterial Blight,bacterial,Severe,61.08,83,0.67,96.55,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0170,Potato,Late Blight,fungal,Moderate,46.35,128,0.9,90.03,Critical,Cymoxanil + Mancozeb
IMG-2026-0171,Grape,Black Rot,fungal,Moderate,43.82,140,0.93,93.26,High,Myclobutanil
IMG-2026-0172,Citrus,Bacterial Canker,bacterial,Moderate,36.33,41,0.86,91.69,Critical,Streptomycin Sulfate + Copper
IMG-2026-0173,Corn,Northern Leaf Blight,fungal,Moderate,48.17,117,0.83,94.16,High,Azoxystrobin
IMG-2026-0174,Rice,Bacterial Leaf Blight,bacterial,Mild,18.43,79,0.51,98.87,High,Copper Hydroxide
IMG-2026-0175,Citrus,Bacterial Canker,bacterial,Severe,75.14,15,0.73,94.08,Critical,Streptomycin Sulfate + Copper
IMG-2026-0176,Citrus,Bacterial Canker,bacterial,Mild,15.96,147,0.54,96.47,Critical,Streptomycin Sulfate + Copper
IMG-2026-0177,Tulsi,Cercospora Leaf Spot,fungal,Moderate,44.27,28,0.43,94.15,Low,Organic Neem Leaf Extract
IMG-2026-0178,Plant,Healthy Leaf,none,Healthy,0.43,2,0.1,96.6,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0179,Tulsi,Cercospora Leaf Spot,fungal,Severe,56.45,76,0.76,91.48,Low,Organic Neem Leaf Extract
IMG-2026-0180,Tomato,Early Blight,fungal,Severe,52.31,38,0.45,97.42,High,Mancozeb 75% WP
IMG-2026-0181,Tomato,Late Blight,fungal,Moderate,45.69,45,0.72,89.72,Critical,Copper Oxychloride
IMG-2026-0182,Plant,Healthy Leaf,none,Healthy,1.07,2,0.14,97.87,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0183,Rice,Bacterial Leaf Blight,bacterial,Severe,83.56,77,0.6,89.62,High,Copper Hydroxide
IMG-2026-0184,Wheat,Leaf Rust,fungal,Severe,79.3,145,0.79,89.53,High,Propiconazole 25% EC
IMG-2026-0185,Tomato,Late Blight,fungal,Moderate,32.17,121,0.52,96.82,Critical,Copper Oxychloride
IMG-2026-0186,Rose,Powdery Mildew,fungal,Severe,71.9,87,0.77,97.38,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0187,Grape,Black Rot,fungal,Severe,84.92,140,0.86,93.0,High,Myclobutanil
IMG-2026-0188,Rice,Bacterial Leaf Blight,bacterial,Moderate,37.19,156,0.8,92.22,High,Copper Hydroxide
IMG-2026-0189,Plant,Healthy Leaf,none,Healthy,0.48,0,0.2,97.29,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0190,Citrus,Bacterial Canker,bacterial,Moderate,29.05,120,0.33,96.34,Critical,Streptomycin Sulfate + Copper
IMG-2026-0191,Corn,Northern Leaf Blight,fungal,Severe,78.68,112,0.55,95.43,High,Azoxystrobin
IMG-2026-0192,Sugarcane,Red Rot,fungal,Severe,59.6,53,0.62,88.41,Critical,Carbendazim 50% WP
IMG-2026-0193,Apple,Apple Scab,fungal,Severe,82.47,99,0.87,97.79,Medium,Captan 50% WP
IMG-2026-0194,Rice,Bacterial Leaf Blight,bacterial,Mild,19.28,131,0.31,89.61,High,Copper Hydroxide
IMG-2026-0195,Sugarcane,Red Rot,fungal,Severe,59.8,54,0.35,96.75,Critical,Carbendazim 50% WP
IMG-2026-0196,Rose,Powdery Mildew,fungal,Moderate,36.71,116,0.72,97.54,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0197,Sugarcane,Red Rot,fungal,Severe,61.23,151,0.55,91.55,Critical,Carbendazim 50% WP
IMG-2026-0198,Corn,Northern Leaf Blight,fungal,Severe,76.78,139,0.87,88.4,High,Azoxystrobin
IMG-2026-0199,Tomato,Late Blight,fungal,Moderate,29.14,88,0.95,96.36,Critical,Copper Oxychloride
IMG-2026-0200,Citrus,Bacterial Canker,bacterial,Severe,83.42,177,0.76,89.13,Critical,Streptomycin Sulfate + Copper
IMG-2026-0201,Potato,Late Blight,fungal,Severe,62.66,22,0.33,96.92,Critical,Cymoxanil + Mancozeb
IMG-2026-0202,Rose,Powdery Mildew,fungal,Moderate,38.17,125,0.39,93.95,Medium,Neem Oil 1500ppm / Sulfur Spray
IMG-2026-0203,Grape,Black Rot,fungal,Severe,61.77,61,0.41,88.88,High,Myclobutanil
IMG-2026-0204,Sugarcane,Red Rot,fungal,Moderate,39.93,76,0.62,94.53,Critical,Carbendazim 50% WP
IMG-2026-0205,Wheat,Leaf Rust,fungal,Moderate,45.66,80,0.6,95.47,High,Propiconazole 25% EC
IMG-2026-0206,Plant,Healthy Leaf,none,Healthy,1.21,1,0.14,97.02,None,Optimal Irrigation & N-P-K Balanced Soil
IMG-2026-0207,Rice,Bacterial Leaf Blight,bacterial,Severe,81.0,165,0.49,98.77,High,Copper Hydroxide
IMG-2026-0208,Corn,Northern Leaf Blight,fungal,Moderate,30.26,92,0.43,92.31,High,Azoxystrobin
IMG-2026-0209,Rice,Bacterial Leaf Blight,bacterial,Mild,19.79,112,0.67,94.44,High,Copper Hydroxide
IMG-2026-0210,Corn,Northern Leaf Blight,fungal,Moderate,33.55,116,0.48,94.34,High,Azoxystrobin
IMG-2026-0211,Tulsi,Cercospora Leaf Spot,fungal,Severe,68.82,27,0.89,96.35,Low,Organic Neem Leaf Extract
IMG-2026-0212,Sugarcane,Red Rot,fungal,Severe,78.0,88,0.8,90.58,Critical,Carbendazim 50% WP
IMG-2026-0213,Cotton,Bacterial Blight,bacterial,Moderate,37.72,177,0.42,90.81,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0214,Cotton,Bacterial Blight,bacterial,Severe,64.63,50,0.71,98.12,Critical,Copper Oxychloride + Agrimycin
IMG-2026-0215,Tulsi,Cercospora Leaf Spot,fungal,Mild,14.88,127,0.32,92.09,Low,Organic Neem Leaf Extract
IMG-2026-0216,Potato,Late Blight,fungal,Mild,18.58,90,0.51,92.65,Critical,Cymoxanil + Mancozeb
IMG-2026-0217,Wheat,Leaf Rust,fungal,Mild,21.65,153,0.87,92.1,High,Propiconazole 25% EC
IMG-2026-0218,Apple,Apple Scab,fungal,Severe,78.68,57,0.47,97.24,Medium,Captan 50% WP
IMG-2026-0219,Rice,Bacterial Leaf Blight,bacterial,Severe,82.62,90,0.79,91.79,High,Copper Hydroxide
IMG-2026-0220,Tomato,Late Blight,fungal,Moderate,46.19,34,0.39,98.82,Critical,Copper Oxychloride
IMG-2026-0221,Sugarcane,Red Rot,fungal,Severe,61.37,116,0.93,97.01,Critical,Carbendazim 50% WP
